cpf,transaction_description,transaction_date,points_value,monetary_value,status
14.648.700-47,Compra farmacia,2023-11-11,180,191.70,pending
21.498.874-00,Compra supermercado,2023-08-12,52,402.57,pending
6.067.414-68,Compra farmacia,2024-06-12,445,363.36,approved
16.814.741-70,Recarga celular,2025-04-19,312,727.28,approved
27.133.740-62,Assinatura streaming,2025-04-23,296,659.51,approved
19.722.577-26,Recarga celular,2023-09-23,45,765.72,approved
13.494.825-71,Bonus indicacao,2025-01-27,219,671.73,approved
19.419.086-95,Pagamento servico,2023-09-05,493,280.45,pending
14.525.458-55,Cashback compra,2025-03-05,141,736.71,pending
6.880.629-06,Recarga celular,2023-06-03,133,725.37,approved
15.274.743-77,Compra restaurante,2024-09-27,184,561.19,approved
11.208.448-74,Pagamento fatura,2023-12-27,20,287.43,pending
21.893.677-26,Compra farmacia,2023-03-22,379,513.93,pending
13.175.551-13,Pagamento boleto,2025-02-05,464,746.73,pending
11.683.402-29,Cashback compra,2025-04-26,115,738.07,rejected
19.450.434-13,Compra farmacia,2024-04-06,168,772.48,approved
12.231.102-46,Compra vestuario,2024-07-21,379,144.58,approved
5.307.856-90,Compra online,2023-06-16,306,567.33,approved
5.809.846-18,Compra farmacia,2024-08-15,70,428.94,pending
11.052.500-88,Pagamento boleto,2023-06-09,422,442.73,pending
15.723.087-25,Assinatura streaming,2024-09-14,151,520.19,approved
18.477.780-13,Estorno parcial,2023-06-19,311,121.80,approved
9.801.097-36,Recarga celular,2023-09-20,291,245.79,pending
16.367.732-46,Assinatura streaming,2024-02-18,313,626.20,pending
15.992.202-60,Cashback compra,2023-08-24,477,541.79,pending
19.098.216-01,Pagamento boleto,2023-04-19,341,597.43,approved
15.299.003-41,Compra vestuario,2023-10-14,479,407.20,pending
15.652.298-71,Estorno parcial,2024-10-24,201,378.24,approved
11.157.716-23,Compra vestuario,2023-07-31,150,247.85,rejected
12.058.752-70,Compra supermercado,2025-01-25,95,694.45,rejected
13.127.547-86,Pagamento boleto,2024-11-21,362,512.12,pending
10.995.804-10,Transferencia PIX,2024-11-06,69,443.79,pending
4.041.379-29,Cashback compra,2023-01-12,39,730.83,approved
19.269.359-22,Transferencia PIX,2023-06-18,27,605.22,pending
3.378.779-94,Pagamento servico,2024-08-27,96,497.12,approved
21.592.522-18,Compra supermercado,2023-07-26,382,48.22,pending
14.566.269-36,Compra farmacia,2024-07-14,42,151.27,pending
14.374.608-74,Bonus indicacao,2023-07-31,262,181.36,approved
7.840.340-92,Compra combustivel,2024-11-04,397,143.03,approved
12.211.695-49,Compra vestuario,2025-04-24,57,259.26,rejected
13.607.651-69,Compra farmacia,2024-04-24,219,186.12,approved
24.158.997-15,Recarga celular,2024-02-13,64,396.39,pending
11.239.613-49,Compra farmacia,2025-03-08,305,470.09,pending
16.773.191-49,Bonus indicacao,2023-06-22,359,133.18,approved
16.659.459-64,Assinatura streaming,2025-04-16,188,706.01,rejected
6.134.547-33,Compra combustivel,2023-07-21,248,145.06,approved
8.208.242-80,Transferencia PIX,2023-06-20,171,382.39,rejected
13.926.654-81,Compra supermercado,2023-02-25,443,490.97,approved
19.906.870-70,Bonus indicacao,2024-03-18,219,229.29,approved
14.900.983-41,Pagamento servico,2024-03-05,285,59.85,pending
7.604.701-25,Compra vestuario,2023-11-17,219,336.68,approved
17.477.140-06,Pagamento servico,2024-07-08,225,443.90,rejected
22.476.267-23,Pagamento boleto,2025-01-22,120,358.34,pending
20.833.040-52,Compra online,2023-04-08,388,213.08,rejected
15.384.682-55,Pagamento boleto,2023-09-28,250,254.92,approved
8.233.527-36,Compra restaurante,2023-07-13,101,426.02,approved
13.622.210-89,Compra farmacia,2023-05-10,426,280.52,approved
15.147.193-38,Pagamento fatura,2023-05-26,119,294.24,pending
8.151.126-93,Pagamento servico,2023-12-15,423,370.19,approved
2.652.177-05,Compra online,2024-11-30,341,565.57,pending
9.696.946-49,Transferencia PIX,2023-09-16,357,317.68,approved
5.841.054-11,Compra restaurante,2023-01-03,370,384.77,rejected
17.898.608-22,Compra combustivel,2024-05-26,476,619.85,pending
19.944.569-81,Pagamento boleto,2025-04-23,210,96.03,approved
15.045.629-63,Pagamento fatura,2024-03-28,320,211.46,approved
17.292.128-60,Transferencia PIX,2024-10-03,231,473.76,approved
12.667.085-05,Cashback compra,2024-09-24,428,108.76,pending
18.600.510-00,Pagamento servico,2025-03-26,290,15.31,pending
20.399.336-01,Compra combustivel,2024-05-21,146,421.79,approved
13.815.504-10,Compra supermercado,2024-05-04,90,243.67,approved
17.637.261-17,Compra restaurante,2024-05-02,270,576.93,rejected
14.227.374-93,Compra online,2025-01-15,66,175.55,approved
14.274.734-32,Estorno parcial,2024-10-26,27,78.85,pending
9.374.983-91,Bonus indicacao,2024-10-16,194,254.85,approved
22.069.268-05,Bonus indicacao,2023-05-30,370,348.09,approved
18.709.639-06,Recarga celular,2024-08-04,259,420.30,approved
5.743.965-15,Compra combustivel,2024-11-23,107,281.19,pending
8.274.356-47,Compra online,2024-01-05,424,150.68,pending
18.678.314-92,Estorno parcial,2023-03-18,38,249.59,rejected
18.289.433-93,Compra vestuario,2024-04-26,62,160.80,approved
14.752.916-85,Pagamento fatura,2023-05-29,381,700.28,rejected
3.829.830-14,Cashback compra,2024-01-14,126,382.76,rejected
18.171.917-97,Compra restaurante,2023-12-04,353,534.89,pending
11.133.292-32,Recarga celular,2025-02-25,196,604.09,approved
9.207.551-51,Compra restaurante,2024-06-28,398,676.69,approved
12.469.557-93,Bonus indicacao,2024-11-20,32,572.30,approved
7.718.033-83,Cashback compra,2023-06-21,336,322.13,approved
13.862.024-91,Assinatura streaming,2023-12-29,193,783.45,approved
20.322.630-88,Transferencia PIX,2025-02-10,162,153.91,approved
10.035.395-81,Compra restaurante,2024-02-27,385,424.05,pending
12.636.653-62,Pagamento boleto,2023-01-12,242,172.26,pending
14.426.101-26,Compra supermercado,2025-01-08,241,492.00,approved
16.986.316-00,Pagamento fatura,2023-12-18,314,467.49,pending
15.520.702-56,Compra farmacia,2024-12-19,120,231.57,approved
12.914.832-31,Transferencia PIX,2024-03-17,326,292.93,approved
6.988.396-83,Assinatura streaming,2023-08-24,464,384.19,approved
8.430.659-36,Compra vestuario,2025-03-03,476,231.79,approved
18.735.020-36,Compra combustivel,2024-02-20,49,20.87,rejected
11.677.574-37,Bonus indicacao,2023-01-18,223,256.49,approved
15.159.120-93,Cashback compra,2024-03-03,247,651.27,approved
15.493.133-91,Transferencia PIX,2023-11-03,331,566.64,rejected
11.851.859-48,Compra combustivel,2023-04-10,266,719.60,approved
15.202.060-47,Compra combustivel,2025-03-17,345,619.92,approved
8.588.939-94,Compra online,2023-06-05,247,20.47,pending
14.556.698-81,Pagamento boleto,2024-07-25,162,726.73,pending
12.558.951-80,Recarga celular,2025-01-15,59,568.50,approved
10.814.629-46,Compra supermercado,2025-01-24,458,603.67,pending
12.923.649-26,Bonus indicacao,2024-10-29,480,157.71,pending
16.985.688-15,Pagamento servico,2025-03-22,437,638.71,pending
21.453.535-66,Compra supermercado,2023-12-08,499,32.67,approved
15.076.199-39,Pagamento fatura,2024-04-22,168,308.27,rejected
16.891.981-07,Assinatura streaming,2024-04-13,294,105.70,pending
11.113.631-34,Transferencia PIX,2023-09-18,424,717.48,pending
4.450.677-63,Compra supermercado,2024-01-18,276,793.59,approved
18.839.721-75,Pagamento boleto,2024-12-09,354,544.76,approved
13.540.993-20,Estorno parcial,2024-07-25,95,702.88,approved
12.231.506-04,Pagamento boleto,2025-04-21,69,181.05,approved
13.032.311-48,Compra supermercado,2023-07-22,164,460.42,rejected
11.529.132-18,Compra supermercado,2024-07-26,292,376.79,approved
10.914.158-64,Pagamento boleto,2023-05-10,256,93.73,pending
11.865.613-37,Compra restaurante,2024-03-27,268,356.98,pending
9.960.269-40,Recarga celular,2023-10-04,409,587.95,approved
7.332.365-30,Compra farmacia,2024-09-09,184,656.65,approved
21.073.495-43,Pagamento servico,2024-12-10,122,612.70,approved
18.763.860-92,Compra combustivel,2024-10-18,91,308.85,pending
10.239.116-20,Compra supermercado,2024-04-30,346,136.40,approved
8.822.608-97,Compra combustivel,2023-03-01,250,790.56,approved
15.843.680-40,Compra farmacia,2024-06-07,90,117.78,approved
13.286.180-37,Pagamento boleto,2024-07-01,292,582.67,approved
14.652.918-12,Compra restaurante,2024-02-11,272,571.64,pending
20.867.051-09,Pagamento fatura,2025-03-05,130,742.60,rejected
12.126.273-13,Transferencia PIX,2025-01-05,10,659.84,approved
13.600.129-41,Pagamento boleto,2023-04-07,467,782.73,rejected
6.786.313-75,Transferencia PIX,2024-10-25,393,136.31,pending
4.650.705-06,Compra combustivel,2024-12-12,182,40.47,rejected
3.521.274-94,Cashback compra,2024-04-29,249,711.61,approved
23.852.764-20,Transferencia PIX,2023-09-23,25,412.58,pending
9.581.706-47,Transferencia PIX,2024-03-22,426,234.87,approved
20.338.628-04,Compra online,2023-11-30,129,194.58,approved
5.172.471-12,Estorno parcial,2024-07-22,204,651.75,pending
8.014.091-43,Compra restaurante,2024-11-02,308,21.39,approved
17.779.505-12,Bonus indicacao,2024-05-27,93,731.39,rejected
19.435.870-40,Compra restaurante,2024-09-09,404,393.34,pending
9.528.276-55,Pagamento servico,2023-01-19,138,54.60,rejected
9.987.831-92,Compra combustivel,2024-12-05,224,360.89,pending
21.265.043-80,Pagamento servico,2023-02-26,403,778.19,approved
12.970.831-30,Compra combustivel,2024-05-23,149,224.53,pending
12.110.182-61,Pagamento servico,2025-01-27,107,637.98,rejected
12.874.858-54,Recarga celular,2024-10-29,370,341.18,rejected
3.875.915-30,Compra farmacia,2025-01-18,74,283.57,rejected
21.237.234-87,Assinatura streaming,2023-04-10,89,25.19,pending
21.116.167-50,Compra vestuario,2023-03-08,220,345.89,rejected
12.896.521-00,Compra combustivel,2023-07-21,377,274.51,approved
10.798.001-69,Compra combustivel,2024-04-27,151,149.42,approved
11.754.038-47,Pagamento servico,2023-02-14,259,178.81,approved
17.500.349-97,Compra farmacia,2023-06-09,80,132.21,pending
17.542.819-32,Estorno parcial,2024-10-02,139,370.74,pending
14.622.362-01,Compra farmacia,2024-02-10,255,31.41,approved
24.093.455-93,Compra vestuario,2023-03-31,338,437.95,approved
5.334.887-04,Pagamento fatura,2023-12-21,425,548.80,approved
17.341.087-46,Compra combustivel,2023-05-22,402,91.16,approved
19.013.052-90,Pagamento fatura,2025-01-28,413,494.51,pending
12.775.492-33,Estorno parcial,2025-03-28,35,136.28,approved
13.814.516-88,Assinatura streaming,2023-01-10,445,432.81,approved
10.232.634-17,Bonus indicacao,2025-04-16,391,19.86,approved
6.779.520-65,Pagamento servico,2023-08-21,389,546.37,rejected
6.379.203-58,Compra online,2024-11-01,408,390.01,approved
12.905.254-08,Assinatura streaming,2023-08-25,398,416.40,approved
13.535.223-71,Compra vestuario,2024-04-20,158,516.75,pending
14.653.837-45,Recarga celular,2024-12-27,48,746.14,approved
14.807.571-74,Compra combustivel,2024-01-31,223,6.58,approved
16.260.084-33,Pagamento boleto,2023-08-04,162,206.85,rejected
23.726.669-61,Assinatura streaming,2023-05-03,146,447.46,approved
17.449.705-63,Estorno parcial,2024-01-30,433,53.23,approved
10.598.464-61,Bonus indicacao,2024-07-23,300,369.76,pending
